lon,lat,mean,sd,min,max
3873392.539,3664840.673,23.78209733,7.050649373,0,89.13766053
3872663.363,3664681.197,22.56900997,7.021402617,0,85.98271452
3872814.034,3665072.14,22.92219164,7.318591006,0,89.13765981
3873416.587,3665032.358,23.81090697,7.021339635,0,89.13766124
3873430.884,3665137.154,25.10870473,7.090067469,0,89.13765939
3873424.444,3664777.09,22.73772264,7.095179785,0,85.98271428
3873432.244,3664814.09,22.73754532,7.095508456,0,85.98271918
3873436.105,3664949.609,23.44761928,7.102972128,0,89.13766296
3873467.575,3664936.316,23.40788123,7.155549737,0,89.13765111
3873479.257,3664962.954,23.40779532,7.155706592,0,89.13765927
3873451.313,3664982.436,23.44813683,7.101997668,0,89.13766037
3873490.783,3664990.479,23.40337017,7.159471647,0,89.13765936
3873423.103,3664999.466,23.8202892,7.006066923,0,89.13765051
3873449.219,3665016.109,23.77382311,7.072074987,0,89.13766322
3873487.323,3665051.809,23.39680403,7.171142159,0,89.13765054
3873595.113,3665056.087,22.64129784,7.31199322,0,89.13765126
3873425.208,3665184.623,25.12902119,7.064022838,0,89.13766551
3873459.991,3665186.479,24.79700824,7.091815043,0,89.13765997
3873501.991,3665181.481,24.80046041,7.083212111,0,89.13765587
3873534.949,3665181.685,23.90095875,6.884666588,0,89.13764996
3873569.141,3665188.582,23.91432052,6.860010827,0,89.13765803
3873630.133,3665215.579,23.46961273,7.06060802,0,89.13765268
3873636.193,3665191.768,23.46484974,7.067352552,0,89.1376508
3873587.999,3665118.106,23.46355142,7.057431031,0,89.13766284
3873565.064,3665113.059,23.46355142,7.057431031,0,89.13766284
3873519.351,3665088.839,23.89604242,6.895149116,0,89.13765711
3873447.945,3665077.818,23.81533616,7.013161208,0,89.13765357
3873521.605,3665033.361,22.60653782,7.362246964,0,89.13766192
3873502.93,3665046.685,23.40111203,7.163456864,0,89.13764938
3873467.27,3665064.27,23.77348237,7.072736576,0,89.13765762
3873474.732,3665099.56,24.79551208,7.092151479,0,89.13766114
3873484.176,3665102.462,23.88786794,6.913153877,0,89.13766494
3873468.468,3665100.828,24.79611767,7.091560106,0,89.13765935
3873466.925,3665114.45,24.79644266,7.091269942,0,89.1376599
3873473.914,3665137.312,24.79555745,7.092109829,0,89.13765628
3873599.302,3665084.688,23.46037204,7.062711476,0,89.13765223
3873587.245,3665043.875,21.93001164,7.244609458,0,85.98271719
3873529.545,3665227.278,24.04059886,6.760652955,0,89.13766497
3873583.85,3665366.783,23.4094921,7.148150682,0,89.13765237
3873514.664,3665325.925,23.41836485,7.149771077,0,89.13766429
3873487.275,3665324.891,23.61405023,6.956730991,0,89.13765558
3873455.337,3665326.948,23.60391336,6.978692427,0,89.1376521
3873425.878,3665330.107,23.97054904,6.881730679,0,89.13764995
3873456.232,3665294.127,23.60545351,6.975362393,0,89.13765541
3873507.879,3665291.351,23.6254209,6.936142743,0,89.1376528
3873596.94,3665306.151,23.656327,6.877376896,0,89.13766321
3873607.603,3665278.899,23.53929041,6.966537516,0,89.13766389
3873620.648,3665247.433,23.54411595,6.959180547,0,89.13765062
3873562.532,3665229.306,23.91904194,6.85437863,0,89.13765535
3873514.002,3665264.102,23.63349547,6.92616204,0,89.13766339
3873501.228,3665226.059,24.0292144,6.782917642,0,89.13765405
3873455.002,3665262.975,24.01975985,6.80555278,0,89.13766076
3873460.506,3665232.241,24.02043643,6.802932987,0,89.13764975
3873427.908,3665234.723,24.80340271,7.095044146,0,89.13765761
3873142.234,3665404.114,24.12942115,7.316911333,0,89.13766097
3873074.817,3665414.575,24.22657268,7.194897777,0,89.13765482
3873083.027,3665437.261,24.74193829,7.055369457,0,89.13766533
3872984.239,3665442.901,23.13841827,7.318481908,0,89.13765423
3872935.945,3665384.58,24.0454017,7.457782829,0,89.1376569
3872965.379,3665351.359,24.17834202,7.307306816,0,89.1376573
3873014.808,3665243.631,24.19603118,7.27376156,0,89.13766321
3873125.866,3665383.252,24.13330133,7.310129135,0,89.13765585
3873109.46,3665357.889,24.21129999,7.222844738,0,89.13766313
3873084.24,3665306.909,24.20858748,7.235706955,0,89.13765876
3873076.248,3665282.765,24.2050943,7.247792689,0,89.13766496
3873128.606,3665288.961,24.21666432,7.221761982,0,89.13765995
3873160.277,3665427.98,24.12183765,7.331374983,0,89.13765555
3873190.384,3665396.71,24.61816367,7.228569695,0,89.13766353
3873171.859,3665372.373,24.69125359,7.146857995,0,89.13765873
3873158.657,3665344.191,24.21244195,7.22100957,0,89.1376494
3873147.605,3665318.492,24.21485802,7.220058183,0,89.13765279
3873161.427,3665270.368,24.21682552,7.222395243,0,89.13765205
3873210.107,3665308.139,24.71110274,7.118930091,0,89.13765767
3873257.686,3665282.615,25.75856378,7.151931503,0,89.13765114
3873295.521,3665265.927,25.14385883,7.056896915,0,89.13765924
3873188.021,3665259.512,24.55864468,7.111063325,0,89.13765225
3873216.837,3665251.829,24.55505793,7.110133029,0,89.13765796
3873326.646,3665256.787,25.1303896,7.073105357,0,89.13765649
3873410.488,3665271.387,24.75055332,7.176719206,0,89.13764963
3873206.716,3665424.516,24.61845506,7.228226544,0,89.13766379
3873260.109,3665393.544,25.73931389,7.176777168,0,89.13766503
3873286.419,3665377.552,25.75512186,7.161437582,0,89.13765619
3873274.701,3665346.296,25.75509413,7.161416966,0,89.13765734
3873316.335,3665363.023,25.75901253,7.167745064,0,89.13766435
3873297.658,3665343.532,25.75827329,7.164826604,0,89.13765764
3873324.781,3665323.748,24.63656337,7.212382314,0,89.13766494
3873364.472,3665312.923,24.74678252,7.177326882,0,89.13766126
3873370.282,3665347.207,24.74728469,7.176656252,0,89.13766322
3873415.912,3665300.109,23.9691721,6.886964924,0,89.13765984
3873399.175,3665333.732,23.97478917,6.881677698,0,89.13765096
3873386.601,3665383.016,23.36499699,7.229946202,0,89.13765149
3873370.386,3665386.47,23.36946299,7.222399555,0,89.1376505
3873353.611,3665390.043,23.96787759,6.872491456,0,89.13766128
3873337.473,3665393.481,23.95802672,6.889494408,0,89.13765155
3873101.013,3665454.925,24.74193829,7.055369457,0,89.13766533
3873105.186,3665440.606,24.73625166,7.064654356,0,89.13766053
3873097.85,3665443.641,24.74182714,7.055551766,0,89.13765992
3873307.873,3665337.702,25.76275792,7.161315212,0,89.13765683
3873304.689,3665330.333,25.76269889,7.160321697,0,89.13766089
