lat,lon,mean,sd,min,max
31.2467862,34.79527719,21.18236655,6.604630671,0,84.83766591
31.2455614,34.78872689,22.43099315,6.95937506,0,86.43435343
31.24856386,34.79008039,22.20350221,6.718109327,0,86.43433859
31.24825833,34.79549322,20.83921951,5.69644023,0,84.8376546
31.24906316,34.79562165,22.54768168,6.449509908,0,84.837656
31.24629787,34.7955638,20.49445953,5.919500893,0,84.83765443
31.24658203,34.79563387,20.49434911,5.919752208,0,84.83765933
31.24762283,34.79566855,20.63344018,5.849598686,0,84.83765957
31.24752074,34.79595125,20.59467705,5.895083283,0,84.83765701
31.24772532,34.79605619,20.59465771,5.895160977,0,84.83766517
31.24787494,34.79580517,20.63361858,5.849055344,0,84.83765697
31.24793671,34.79615974,20.81465214,5.715787933,0,84.83764968
31.24800573,34.79555175,20.62952637,5.860601535,0,84.83766378
31.24813354,34.79578636,20.80495818,5.73630162,0,84.83765355
31.24840772,34.79612865,20.81020466,5.725429609,0,84.83765753
31.24844058,34.79709694,20.83137903,5.678348524,0,84.83765589
31.24942771,34.79557066,22.57685102,6.415073043,0,84.83766212
31.24944197,34.79588313,22.55196071,6.437440897,0,84.83765658
31.24940359,34.79626042,22.55429521,6.430276351,0,84.83765248
31.24940515,34.79655649,21.00641464,5.507954162,0,84.83766324
31.24945812,34.79686364,21.01687235,5.486639544,0,84.83765464
31.24966545,34.79741154,20.96173243,5.551412982,0,84.83766595
31.24948259,34.79746597,20.85767834,5.641820131,0,84.83766407
31.24891688,34.79703304,20.85468398,5.631025891,0,84.83764992
31.24887811,34.79682701,20.85468398,5.631025891,0,84.83764992
31.24869211,34.79641637,21.0036712,5.516250412,0,84.83765372
31.24860747,34.79577491,20.84270208,5.688882011,0,84.83766359
31.24826604,34.79643661,20.8160103,5.713017271,0,84.83765225
31.24836837,34.79626885,20.81312632,5.719074018,0,84.83765637
31.24850342,34.79594851,20.80468017,5.736899964,0,84.83766461
31.24877444,34.79601555,22.55115718,6.436827639,0,84.83765774
31.24879673,34.79610038,22.11448344,6.393391415,0,84.83766155
31.24878418,34.79595928,22.55157034,6.436522325,0,84.83765596
31.2488888,34.79594542,22.55179818,6.436383995,0,84.83765651
31.24906438,34.7960082,22.55118268,6.436805891,0,84.83765289
31.24866023,34.79713457,20.85220879,5.635573097,0,84.83765597
31.24834679,34.79702627,20.83071193,5.680129671,0,84.83765484
31.2497553,34.79650794,21.54563946,5.721061948,0,84.83766157
31.25082667,34.79699577,20.88854602,5.648957093,0,84.83766564
31.25051289,34.79637426,20.90959118,5.641925504,0,84.8376609
31.25050495,34.79612822,21.50744973,5.781232229,0,84.83765218
31.25052075,34.79584132,21.49756359,5.803765,0,84.83766537
31.25054501,34.79557668,21.48745131,5.825171006,0,84.83766323
31.25026869,34.79584936,21.4990837,5.800325453,0,84.83765202
31.25024737,34.79631331,21.51812872,5.7608599,0,84.8376494
31.25036103,34.79711336,21.54867721,5.701961989,0,84.83765982
31.25015174,34.79720915,21.55780023,5.688413604,0,84.8376605
31.24991009,34.79732633,21.02449174,5.469342571,0,84.8376639
31.24977087,34.79680427,21.56136584,5.691625123,0,84.83765196
31.2500381,34.79636831,21.52520096,5.753121078,0,84.83766
31.24974594,34.79625356,21.53573547,5.74131263,0,84.83765065
31.25002945,34.7958383,21.52717095,5.762478835,0,84.83765736
31.24979342,34.79588775,21.52793431,5.759810604,0,84.83766302
31.24981248,34.79559492,22.50090787,6.424866634,0,84.83765422
31.25111336,34.79302866,22.25745839,6.428224531,0,84.83765758
31.2511937,34.79242305,22.77759665,6.34226552,0,84.83766029
31.25136792,34.79249679,22.81908446,6.28025185,0,84.83765391
31.25141123,34.79160937,21.18074785,6.691565272,0,84.83765084
31.25096335,34.79117554,21.77002392,6.712373097,0,84.83765351
31.25070822,34.79143995,22.20654885,6.657483045,0,84.83765412
31.24988089,34.79188398,22.21864011,6.633073371,0,84.8376658
31.25095315,34.79288162,22.26055057,6.423504291,0,84.83765246
31.25075837,34.79273425,22.25688352,6.573612492,0,84.83765461
31.25036685,34.7925077,22.24883583,6.584267319,0,84.83765898
31.25018143,34.79243591,22.239002,6.599052526,0,84.83765278
31.25022901,34.79290624,23.07530274,6.94708397,0,87.1982666
31.25129664,34.79319075,22.24808305,6.443221176,0,84.83765216
31.2510565,34.7934612,22.26664794,6.417905999,0,84.83766013
31.2508696,34.79329479,22.77686344,6.362709883,0,84.83765335
31.25065317,34.79317619,22.77402534,6.36176637,0,84.83766268
31.25045581,34.79307692,22.26270803,6.57043917,0,84.83764984
31.25008623,34.79320108,23.07031556,6.949135975,0,87.19827536
31.25037629,34.79363837,22.79071944,6.344827873,0,84.8376617
31.25018028,34.79406579,23.08900046,6.376702769,0,84.8376599
31.25005212,34.79440567,23.08066152,6.390415687,0,84.83765365
31.25000285,34.79343998,23.1561919,6.926255491,0,87.19826771
