lon,lat,mean,sd,min,max
34.79527719,31.2467862,23.78209733,7.050649373,0,89.13766053
34.78872689,31.2455614,22.56900997,7.021402617,0,85.98271452
34.79008039,31.24856386,22.92219164,7.318591006,0,89.13765981
34.79549322,31.24825833,23.81090697,7.021339635,0,89.13766124
34.79562165,31.24906316,25.10870473,7.090067469,0,89.13765939
34.7955638,31.24629787,22.73772264,7.095179785,0,85.98271428
34.79563387,31.24658203,22.73754532,7.095508456,0,85.98271918
34.79566855,31.24762283,23.44761928,7.102972128,0,89.13766296
34.79595125,31.24752074,23.40788123,7.155549737,0,89.13765111
34.79605619,31.24772532,23.40779532,7.155706592,0,89.13765927
34.79580517,31.24787494,23.44813683,7.101997668,0,89.13766037
34.79615974,31.24793671,23.40337017,7.159471647,0,89.13765936
34.79555175,31.24800573,23.8202892,7.006066923,0,89.13765051
34.79578636,31.24813354,23.77382311,7.072074987,0,89.13766322
34.79612865,31.24840772,23.39680403,7.171142159,0,89.13765054
34.79709694,31.24844058,22.64129784,7.31199322,0,89.13765126
34.79557066,31.24942771,25.12902119,7.064022838,0,89.13766551
34.79588313,31.24944197,24.79700824,7.091815043,0,89.13765997
34.79626042,31.24940359,24.80046041,7.083212111,0,89.13765587
34.79655649,31.24940515,23.90095875,6.884666588,0,89.13764996
34.79686364,31.24945812,23.91432052,6.860010827,0,89.13765803
34.79741154,31.24966545,23.46961273,7.06060802,0,89.13765268
34.79746597,31.24948259,23.46484974,7.067352552,0,89.1376508
34.79703304,31.24891688,23.46355142,7.057431031,0,89.13766284
34.79682701,31.24887811,23.46355142,7.057431031,0,89.13766284
34.79641637,31.24869211,23.89604242,6.895149116,0,89.13765711
34.79577491,31.24860747,23.81533616,7.013161208,0,89.13765357
34.79643661,31.24826604,22.60653782,7.362246964,0,89.13766192
34.79626885,31.24836837,23.40111203,7.163456864,0,89.13764938
34.79594851,31.24850342,23.77348237,7.072736576,0,89.13765762
34.79601555,31.24877444,24.79551208,7.092151479,0,89.13766114
34.79610038,31.24879673,23.88786794,6.913153877,0,89.13766494
34.79595928,31.24878418,24.79611767,7.091560106,0,89.13765935
34.79594542,31.2488888,24.79644266,7.091269942,0,89.1376599
34.7960082,31.24906438,24.79555745,7.092109829,0,89.13765628
34.79713457,31.24866023,23.46037204,7.062711476,0,89.13765223
34.79702627,31.24834679,21.93001164,7.244609458,0,85.98271719
34.79650794,31.2497553,24.04059886,6.760652955,0,89.13766497
34.79699577,31.25082667,23.4094921,7.148150682,0,89.13765237
34.79637426,31.25051289,23.41836485,7.149771077,0,89.13766429
34.79612822,31.25050495,23.61405023,6.956730991,0,89.13765558
34.79584132,31.25052075,23.60391336,6.978692427,0,89.1376521
34.79557668,31.25054501,23.97054904,6.881730679,0,89.13764995
34.79584936,31.25026869,23.60545351,6.975362393,0,89.13765541
34.79631331,31.25024737,23.6254209,6.936142743,0,89.1376528
34.79711336,31.25036103,23.656327,6.877376896,0,89.13766321
34.79720915,31.25015174,23.53929041,6.966537516,0,89.13766389
34.79732633,31.24991009,23.54411595,6.959180547,0,89.13765062
34.79680427,31.24977087,23.91904194,6.85437863,0,89.13765535
34.79636831,31.2500381,23.63349547,6.92616204,0,89.13766339
34.79625356,31.24974594,24.0292144,6.782917642,0,89.13765405
34.7958383,31.25002945,24.01975985,6.80555278,0,89.13766076
34.79588775,31.24979342,24.02043643,6.802932987,0,89.13764975
34.79559492,31.24981248,24.80340271,7.095044146,0,89.13765761
34.79302866,31.25111336,24.12942115,7.316911333,0,89.13766097
34.79242305,31.2511937,24.22657268,7.194897777,0,89.13765482
34.79249679,31.25136792,24.74193829,7.055369457,0,89.13766533
34.79160937,31.25141123,23.13841827,7.318481908,0,89.13765423
34.79117554,31.25096335,24.0454017,7.457782829,0,89.1376569
34.79143995,31.25070822,24.17834202,7.307306816,0,89.1376573
34.79188398,31.24988089,24.19603118,7.27376156,0,89.13766321
34.79288162,31.25095315,24.13330133,7.310129135,0,89.13765585
34.79273425,31.25075837,24.21129999,7.222844738,0,89.13766313
34.7925077,31.25036685,24.20858748,7.235706955,0,89.13765876
34.79243591,31.25018143,24.2050943,7.247792689,0,89.13766496
34.79290624,31.25022901,24.21666432,7.221761982,0,89.13765995
34.79319075,31.25129664,24.12183765,7.331374983,0,89.13765555
34.7934612,31.2510565,24.61816367,7.228569695,0,89.13766353
34.79329479,31.2508696,24.69125359,7.146857995,0,89.13765873
34.79317619,31.25065317,24.21244195,7.22100957,0,89.1376494
34.79307692,31.25045581,24.21485802,7.220058183,0,89.13765279
34.79320108,31.25008623,24.21682552,7.222395243,0,89.13765205
34.79363837,31.25037629,24.71110274,7.118930091,0,89.13765767
34.79406579,31.25018028,25.75856378,7.151931503,0,89.13765114
34.79440567,31.25005212,25.14385883,7.056896915,0,89.13765924
34.79343998,31.25000285,24.55864468,7.111063325,0,89.13765225
34.79369883,31.24994385,24.55505793,7.110133029,0,89.13765796
34.79468526,31.24998192,25.1303896,7.073105357,0,89.13765649
34.79543843,31.25009405,24.75055332,7.176719206,0,89.13764963
34.79360791,31.25127004,24.61845506,7.228226544,0,89.13766379
34.79408755,31.25103219,25.73931389,7.176777168,0,89.13766503
34.7943239,31.25090937,25.75512186,7.161437582,0,89.13765619
34.79421863,31.25066934,25.75509413,7.161416966,0,89.13765734
34.79459264,31.2507978,25.75901253,7.167745064,0,89.13766435
34.79442486,31.25064811,25.75827329,7.164826604,0,89.13765764
34.79466851,31.25049617,24.63656337,7.212382314,0,89.13766494
34.79502506,31.25041304,24.74678252,7.177326882,0,89.13766126
34.79507726,31.25067633,24.74728469,7.176656252,0,89.13766322
34.79548715,31.25031463,23.9691721,6.886964924,0,89.13765984
34.7953368,31.25057284,23.97478917,6.881677698,0,89.13765096
34.79522385,31.25095133,23.36499699,7.229946202,0,89.13765149
34.79507819,31.25097786,23.36946299,7.222399555,0,89.1376505
34.7949275,31.2510053,23.96787759,6.872491456,0,89.13766128
34.79478252,31.2510317,23.95802672,6.889494408,0,89.13765155
34.79265837,31.25150358,24.74193829,7.055369457,0,89.13766533
34.79269585,31.25139361,24.73625166,7.064654356,0,89.13766053
34.79262995,31.25141692,24.74182714,7.055551766,0,89.13765992
34.79451663,31.25060333,25.76275792,7.161315212,0,89.13765683
34.79448802,31.25054674,25.76269889,7.160321697,0,89.13766089
34.79413864,31.2504716,24.71318805,7.116076847,0,89.1376539
34.79458194,31.25027809,25.13640075,7.065187189,0,89.13765301
34.79244925,31.2508803,24.22796283,7.194646202,0,89.1376608
34.79059553,31.25007794,24.1664242,7.317683488,0,89.13765285
34.79054996,31.24998424,24.16794864,7.312901002,0,89.13766041
34.79124203,31.25124148,24.04235563,7.460699867,0,89.13766064
34.79033947,31.25057008,24.15105378,7.343912664,0,89.13765829
34.79042979,31.2497371,24.86090355,7.409525669,0,89.13765
34.79431013,31.24976297,25.15526123,7.047946657,0,89.13766381
34.79049764,31.24987663,24.16915789,7.308399373,0,89.13766286
34.79529229,31.2498438,25.05310042,7.176782603,0,89.13765778
34.79493552,31.24991808,25.11822941,7.090009979,0,89.13765662
34.79276708,31.24981923,24.20887549,7.244079453,0,89.13765036
34.79457131,31.24965884,25.12376932,7.088844714,0,89.13765213
34.79368358,31.24925804,24.49783932,7.188871377,0,89.13765306
34.79347168,31.24931723,24.50768227,7.178113382,0,89.1376537
34.7932586,31.24937561,24.56979343,7.108997004,0,89.13766282
34.79417395,31.2486027,24.28259194,7.361459581,0,89.13765282
34.79403929,31.24844587,24.28790565,7.357938711,0,89.13766127
34.79368699,31.24870231,24.51365839,7.168384695,0,89.13765505
34.79345073,31.2490233,24.50497636,7.180933204,0,89.13766106
34.79294353,31.24942544,24.57317474,7.112367207,0,89.13766036
34.79272106,31.24945756,24.63910513,7.115523337,0,89.13766227
34.79251408,31.24949855,24.21411538,7.245576491,0,89.13765017
34.79096003,31.24901779,24.1988134,7.260692033,0,89.13766458
34.79191801,31.24909912,24.222032,7.233307278,0,89.13766359
34.79149682,31.24886488,24.21836295,7.238348835,0,89.13766002
34.79201102,31.24864558,24.71958,6.989579503,0,89.13766288
34.79111782,31.24776527,22.93426032,7.283258713,0,89.13765588
34.79075141,31.2473951,22.89799696,7.330311591,0,89.13766256
34.79200754,31.24745834,22.97114339,7.233249057,0,89.13765254
34.79119986,31.24719468,23.01319535,7.19746224,0,89.13766342
34.79165114,31.24699798,23.05101572,7.147324861,0,89.13766158
34.79191439,31.24709141,24.69719444,7.007525409,0,89.1376547
34.79277213,31.24758336,24.62502284,7.104958068,0,89.13766512
34.79308058,31.24734569,25.30799319,6.903538023,0,89.13765952
34.79339291,31.24712551,25.29867768,6.919117576,0,89.13765662
34.79294064,31.24829446,24.62058907,7.11686989,0,89.13765296
34.79473587,31.24836514,24.92648733,7.272011961,0,89.1376636
34.79416698,31.24662958,24.66496315,7.025870598,0,89.13766353
34.79423313,31.24669612,24.63766281,7.067083983,0,89.13766172
34.79444647,31.24842611,24.28177696,7.362237628,0,89.13766459
34.79453678,31.24854494,24.9003602,7.309414998,0,89.13765891
34.79424277,31.24815512,24.28842545,7.360084611,0,89.13765504
34.7951036,31.24792626,24.61588237,7.252105067,0,89.137651
34.79456963,31.24817717,24.92960276,7.26751693,0,89.13765272
34.79520676,31.24816465,24.61561425,7.252509998,0,89.13765907
34.79516188,31.24840239,24.8644997,7.364641773,0,89.13765295
34.79407469,31.24946352,25.15948182,7.047341975,0,89.13765957
34.79431559,31.24942664,25.15575409,7.051217524,0,89.13766112
34.79522874,31.24948977,25.05737006,7.175766875,0,89.1376608
34.79058913,31.24636338,22.97476934,7.223486305,0,89.13765804
34.79108495,31.24654892,23.01290037,7.173280583,0,89.13765024
34.7931705,31.24889824,24.6076295,7.133842193,0,89.13766463
34.79259233,31.24681255,24.71094896,6.975493836,0,89.13765637
