

-- Schedule for TransitLine with ObjectID 355 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
06:54:22  06:55:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940548_010518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182205
07:01:11  07:02:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28537032_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
07:01:11  07:02:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28537032_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
07:02:47  07:04:13  ----F--  israelpublictransportation02052018BSOnly:31936791_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181936
07:02:47  07:04:13  ----F--  israelpublictransportation02052018BSOnly:31936791_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181940
07:02:47  07:04:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936336_010518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181935
07:02:47  07:04:13  MTWTh--Su  israelpublictransportation02052018BSOnly:31936336_210518  israelpublictransportation02052018BSOnly:17513  israelpublictransportation02052018BSOnly:59181939
07:14:22  07:15:48  ----F--  israelpublictransportation02052018BSOnly:31940853_210518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182210
07:14:22  07:15:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940549_210518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182209
07:14:22  07:15:48  MTWTh--Su  israelpublictransportation02052018BSOnly:31940549_010518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182205
07:14:22  07:15:48  ----F--  israelpublictransportation02052018BSOnly:31940853_010518  israelpublictransportation02052018BSOnly:17545  israelpublictransportation02052018BSOnly:59182206
07:16:11  07:17:37  MTWTh--Su  israelpublictransportation02052018BSOnly:28536885_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
