

-- Schedule for TransitLine with ObjectID 682 --
Route type: Bus
start_time  end_time  weekdays  trip_id  route_id  service_id
08:16:33  08:18:51  ----F--  israelpublictransportation02052018BSOnly:28536979_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
08:31:33  08:33:51  ----F--  israelpublictransportation02052018BSOnly:28536980_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
08:31:33  08:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536886_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
08:31:33  08:33:51  ----F--  israelpublictransportation02052018BSOnly:28536980_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
08:31:33  08:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536886_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
08:46:33  08:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536887_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
08:46:33  08:48:51  ----F--  israelpublictransportation02052018BSOnly:28536981_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
08:46:33  08:48:51  ----F--  israelpublictransportation02052018BSOnly:28536981_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
08:46:33  08:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536887_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
09:01:33  09:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536888_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
09:01:33  09:03:51  ----F--  israelpublictransportation02052018BSOnly:28536982_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
09:01:33  09:03:51  ----F--  israelpublictransportation02052018BSOnly:28536982_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
09:01:33  09:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536888_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
09:14:18  09:16:36  ----F--  israelpublictransportation02052018BSOnly:26406507_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
09:14:18  09:16:36  ----F--  israelpublictransportation02052018BSOnly:26406507_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
09:16:33  09:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536889_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
09:16:33  09:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536889_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
09:31:33  09:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536890_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
09:31:33  09:33:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536890_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
09:31:33  09:33:51  ----F--  israelpublictransportation02052018BSOnly:28536983_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
09:31:33  09:33:51  ----F--  israelpublictransportation02052018BSOnly:28536983_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
09:44:18  09:46:36  ----F--  israelpublictransportation02052018BSOnly:26406508_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
09:44:18  09:46:36  ----F--  israelpublictransportation02052018BSOnly:26406508_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
09:46:33  09:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536891_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
09:46:33  09:48:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536891_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
10:01:33  10:03:51  ----F--  israelpublictransportation02052018BSOnly:28536984_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
10:01:33  10:03:51  ----F--  israelpublictransportation02052018BSOnly:28536984_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182075
10:01:33  10:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536892_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
10:01:33  10:03:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28536892_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
10:14:18  10:16:36  ----F--  israelpublictransportation02052018BSOnly:26406509_010518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182085
10:14:18  10:16:36  ----F--  israelpublictransportation02052018BSOnly:26406509_210518  israelpublictransportation02052018BSOnly:185  israelpublictransportation02052018BSOnly:59182087
10:16:33  10:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537038_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182088
10:16:33  10:18:51  MTWTh--Su  israelpublictransportation02052018BSOnly:28537038_210518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182074
10:31:33  10:33:51  ----F--  israelpublictransportation02052018BSOnly:28536985_010518  israelpublictransportation02052018BSOnly:17570  israelpublictransportation02052018BSOnly:59182089
